baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID,gene_symbol,regulation_level
41.10325388,1.812418863,0.819658288,2.211188358,0.027022796,0.071018457,ENSRNOG00000045838,Hps1,Unchanged
5.073812193,-2.064888409,2.168601965,-0.952174923,0.341008277,0.500578424,ENSRNOG00000052220,Ccdc83,Unchanged
151.116904,2.750898627,0.513995428,5.351990461,8.70E-08,8.63E-07,ENSRNOG00000018052,Cnksr3,Upregulated
499.8997001,0.999595152,0.224223132,4.458037586,8.27E-06,5.72E-05,ENSRNOG00000020339,Neurl1,Upregulated
1390.49795,-1.432509486,0.199194838,-7.191499051,6.41E-13,1.26E-11,ENSRNOG00000028746,Gsto1,Downregulated
1031.20194,0.425338454,0.178078749,2.38848518,0.016917991,0.048372179,ENSRNOG00000017030,Arid1b,Unchanged
334.9084783,1.405968441,0.357422549,3.933631064,8.37E-05,0.000466278,ENSRNOG00000019730,Inppl1,Upregulated
517.4970902,1.725392655,0.233399274,7.392450823,1.44E-13,3.03E-12,ENSRNOG00000034078,Mxi1,Upregulated
3053.529902,-0.192339793,0.126974499,-1.514790722,0.129825411,0.245426503,ENSRNOG00000011015,Hivep2,Unchanged
30.02914747,-1.074993585,0.799997773,-1.343745722,0.179030627,0.314246809,ENSRNOG00000014833,Smndc1,Unchanged
535.0425467,-0.31948323,0.204876038,-1.559397736,0.118902272,0.22898424,ENSRNOG00000014160,Tcp1,Unchanged
37.68374558,0.838675922,0.778212505,1.077695252,0.281169778,0.436668035,ENSRNOG00000013975,Acat2l1,Unchanged
118.3584076,2.080737169,0.460600352,4.517445898,6.26E-06,4.45E-05,ENSRNOG00000017164,Afap1l2,Upregulated
120.8480385,0.842702453,0.477141928,1.766146303,0.077371307,0.164482974,ENSRNOG00000020371,Pgap2,Unchanged
938.7067941,-0.23589321,0.187575224,-1.257592578,0.208539139,0.351661626,ENSRNOG00000011540,Vta1,Unchanged
551.6701904,1.81128703,0.280061755,6.467455833,9.97E-11,1.50E-09,ENSRNOG00000020393,Rhog,Upregulated
485.0990157,0.73823541,0.23218383,3.179529817,0.001475142,0.006030284,ENSRNOG00000046333,NA,Upregulated
318.1123616,-0.557558681,0.298916226,-1.865267365,0.062143937,0.138313999,ENSRNOG00000014582,Mrpl18,Unchanged
248.3183216,0.083872836,0.31934133,0.262643222,0.792825583,0.868755551,ENSRNOG00000017225,Fhip2a,Unchanged
445.17629,0.708931976,0.233856843,3.031478435,0.002433593,0.009311804,ENSRNOG00000020425,Stim1,Upregulated
31.9993388,-0.177414166,1.108922142,-0.159987937,0.872890576,0.922813375,ENSRNOG00000012103,NA,Unchanged
3.463843641,2.194159745,3.132074369,0.700545225,0.483586872,0.636219547,ENSRNOG00000062232,Mcc,Unchanged
